bin_low,bin_high,bin_center,raw_count,weighted_count,channel,sign
98.0,99.0,98.5,0,0,Z->mumu,opposite
99.0,100.0,99.5,0,0,Z->mumu,opposite
100.0,101.0,100.5,0,0,Z->mumu,opposite
101.0,102.0,101.5,0,0,Z->mumu,opposite
102.0,103.0,102.5,0,0,Z->mumu,opposite
103.0,104.0,103.5,0,0,Z->mumu,opposite
104.0,105.0,104.5,0,0,Z->mumu,opposite
105.0,106.0,105.5,0,0,Z->mumu,opposite
106.0,107.0,106.5,0,0,Z->mumu,opposite
107.0,108.0,107.5,0,0,Z->mumu,opposite
108.0,109.0,108.5,0,0,Z->mumu,opposite
109.0,110.0,109.5,0,0,Z->mumu,opposite
110.0,111.0,110.5,0,0,Z->mumu,opposite
111.0,112.0,111.5,0,0,Z->mumu,opposite
112.0,113.0,112.5,0,0,Z->mumu,opposite
113.0,114.0,113.5,0,0,Z->mumu,opposite
114.0,115.0,114.5,0,0,Z->mumu,opposite
115.0,116.0,115.5,0,0,Z->mumu,opposite
116.0,117.0,116.5,0,0,Z->mumu,opposite
117.0,118.0,117.5,0,0,Z->mumu,opposite
118.0,119.0,118.5,0,0,Z->mumu,opposite
119.0,120.0,119.5,0,0,Z->mumu,opposite
120.0,121.0,120.5,0,0,Z->mumu,opposite
121.0,122.0,121.5,0,0,Z->mumu,opposite
122.0,123.0,122.5,0,0,Z->mumu,opposite
123.0,124.0,123.5,0,0,Z->mumu,opposite
124.0,125.0,124.5,0,0,Z->mumu,opposite
125.0,126.0,125.5,0,0,Z->mumu,opposite
126.0,127.0,126.5,0,0,Z->mumu,opposite
127.0,128.0,127.5,0,0,Z->mumu,opposite
128.0,129.0,128.5,0,0,Z->mumu,opposite
129.0,130.0,129.5,0,0,Z->mumu,opposite
50.0,51.0,50.5,0,0,Z->mumu,same
51.0,52.0,51.5,0,0,Z->mumu,same
52.0,53.0,52.5,0,0,Z->mumu,same
53.0,54.0,53.5,0,0,Z->mumu,same
54.0,55.0,54.5,0,0,Z->mumu,same
55.0,56.0,55.5,0,0,Z->mumu,same
56.0,57.0,56.5,0,0,Z->mumu,same
57.0,58.0,57.5,0,0,Z->mumu,same
58.0,59.0,58.5,0,0,Z->mumu,same
59.0,60.0,59.5,0,0,Z->mumu,same
60.0,61.0,60.5,0,0,Z->mumu,same
61.0,62.0,61.5,0,0,Z->mumu,same
62.0,63.0,62.5,0,0,Z->mumu,same
63.0,64.0,63.5,0,0,Z->mumu,same
64.0,65.0,64.5,0,0,Z->mumu,same
65.0,66.0,65.5,0,0,Z->mumu,same
66.0,67.0,66.5,0,0,Z->mumu,same
67.0,68.0,67.5,0,0,Z->mumu,same
68.0,69.0,68.5,0,0,Z->mumu,same
69.0,70.0,69.5,0,0,Z->mumu,same
70.0,71.0,70.5,0,0,Z->mumu,same
71.0,72.0,71.5,0,0,Z->mumu,same
72.0,73.0,72.5,0,0,Z->mumu,same
73.0,74.0,73.5,0,0,Z->mumu,same
74.0,75.0,74.5,0,0,Z->mumu,same
75.0,76.0,75.5,0,0,Z->mumu,same
76.0,77.0,76.5,0,0,Z->mumu,same
77.0,78.0,77.5,0,0,Z->mumu,same
78.0,79.0,78.5,0,0,Z->mumu,same
79.0,80.0,79.5,0,0,Z->mumu,same
80.0,81.0,80.5,0,0,Z->mumu,same
81.0,82.0,81.5,0,0,Z->mumu,same
82.0,83.0,82.5,0,0,Z->mumu,same
83.0,84.0,83.5,0,0,Z->mumu,same
84.0,85.0,84.5,0,0,Z->mumu,same
85.0,86.0,85.5,0,0,Z->mumu,same
86.0,87.0,86.5,0,0,Z->mumu,same
87.0,88.0,87.5,0,0,Z->mumu,same
88.0,89.0,88.5,0,0,Z->mumu,same
89.0,90.0,89.5,0,0,Z->mumu,same
90.0,91.0,90.5,0,0,Z->mumu,same
91.0,92.0,91.5,0,0,Z->mumu,same
92.0,93.0,92.5,0,0,Z->mumu,same
93.0,94.0,93.5,0,0,Z->mumu,same
94.0,95.0,94.5,0,0,Z->mumu,same
95.0,96.0,95.5,0,0,Z->mumu,same
96.0,97.0,96.5,0,0,Z->mumu,same
97.0,98.0,97.5,0,0,Z->mumu,same
98.0,99.0,98.5,0,0,Z->mumu,same
99.0,100.0,99.5,0,0,Z->mumu,same
100.0,101.0,100.5,0,0,Z->mumu,same
101.0,102.0,101.5,0,0,Z->mumu,same
102.0,103.0,102.5,0,0,Z->mumu,same
103.0,104.0,103.5,0,0,Z->mumu,same
104.0,105.0,104.5,0,0,Z->mumu,same
105.0,106.0,105.5,0,0,Z->mumu,same
106.0,107.0,106.5,0,0,Z->mumu,same
107.0,108.0,107.5,0,0,Z->mumu,same
108.0,109.0,108.5,0,0,Z->mumu,same
109.0,110.0,109.5,0,0,Z->mumu,same
110.0,111.0,110.5,0,0,Z->mumu,same
111.0,112.0,111.5,0,0,Z->mumu,same
112.0,113.0,112.5,0,0,Z->mumu,same
113.0,114.0,113.5,0,0,Z->mumu,same
114.0,115.0,114.5,0,0,Z->mumu,same
115.0,116.0,115.5,0,0,Z->mumu,same
116.0,117.0,116.5,0,0,Z->mumu,same
117.0,118.0,117.5,0,0,Z->mumu,same
118.0,119.0,118.5,0,0,Z->mumu,same
119.0,120.0,119.5,0,0,Z->mumu,same
120.0,121.0,120.5,0,0,Z->mumu,same
121.0,122.0,121.5,0,0,Z->mumu,same
122.0,123.0,122.5,0,0,Z->mumu,same
123.0,124.0,123.5,0,0,Z->mumu,same
124.0,125.0,124.5,0,0,Z->mumu,same
125.0,126.0,125.5,0,0,Z->mumu,same
126.0,127.0,126.5,0,0,Z->mumu,same
127.0,128.0,127.5,0,0,Z->mumu,same
128.0,129.0,128.5,0,0,Z->mumu,same
129.0,130.0,129.5,0,0,Z->mumu,same
