source_file,source_type,event_number,weight,n_electrons,n_muons,n_jets,met_gev,leading_electron_pt_gev,leading_muon_pt_gev,leading_jet_pt_gev,electron_mt_gev,muon_mt_gev,has_same_sign_leptons,trigE,trigM,n_btag_jets,has_os_ee,has_os_mumu,has_em_control,z_ee_in_window,z_mumu_in_window,best_z_ee_mass_gev,best_z_mumu_mass_gev
data_A.1lep.root,data,112646734,1.0,0,1,0,34.480946,,39.7087516784668,,,73.94547462049255,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112654713,1.0,0,1,0,37.868515,,43.73522186279297,,,81.3871278081329,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111642020,1.0,0,1,0,46.675137,,44.25693130493164,,,90.8968292289182,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111709479,1.0,0,1,1,38.114918,,45.306549072265625,48.56726837158203,,60.26650841287071,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,111905655,1.0,0,1,1,55.42916,,126.97559356689453,119.97601318359375,,124.39649492337834,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,112285159,1.0,0,1,2,65.50137,,30.552473068237305,40.31379699707031,,88.34487916996318,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,112339244,1.0,0,1,0,37.821636,,38.92573928833008,,,76.69445416562647,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112065865,1.0,0,1,0,36.96221,,45.63520812988281,,,79.74948611383576,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112362268,1.0,0,1,2,68.27705,,32.04963302612305,111.68810272216797,,93.54144571438125,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,112645643,1.0,0,1,0,41.360485,,39.87965393066406,,,75.83396340774787,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112768663,1.0,0,1,0,47.574364,,44.947296142578125,,,92.48407918117707,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109282892,1.0,0,1,0,34.356136,,32.72494888305664,,,67.04295163648439,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109165528,1.0,0,1,0,31.079758,,28.977745056152344,,,59.90052305566536,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109233555,1.0,0,1,0,53.96586,,42.93708801269531,,,95.42385030933995,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109294084,1.0,0,1,0,38.13467,,39.996185302734375,,,76.83135595149913,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109332360,1.0,0,1,0,51.955948,,40.56694030761719,,,88.67110646096593,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109279106,1.0,0,1,2,66.598755,,65.07437133789062,81.25354766845703,,118.71019420532046,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,109139132,1.0,0,1,0,41.66903,,39.42619705200195,,,81.02150949249041,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109348818,1.0,0,1,0,43.611397,,37.447914123535156,,,80.74677020095913,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109413434,1.0,0,1,2,37.675167,,50.26885986328125,42.796043395996094,,82.38924397643842,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,109553028,1.0,0,1,0,32.754852,,28.61631202697754,,,61.21827017631655,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109493059,1.0,0,1,0,49.485455,,40.62862014770508,,,88.6438499866773,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109621365,1.0,0,1,0,37.711945,,37.439788818359375,,,70.66489851033337,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109674795,1.0,0,1,0,36.91575,,42.91149139404297,,,78.98488929415714,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109693221,1.0,0,1,0,44.78327,,41.11518859863281,,,85.76962407196821,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109824661,1.0,0,1,0,41.120407,,38.180564880371094,,,79.19462266412825,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109797297,1.0,0,1,0,84.802284,,40.827735900878906,,,108.99969429305241,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109599889,1.0,0,1,0,42.216175,,42.071998596191406,,,84.28491813646572,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109646394,1.0,0,1,1,34.507294,,93.98233795166016,102.89163970947266,,77.6406666176713,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,110510857,1.0,0,1,0,33.140377,,25.531845092773438,,,57.99132229455163,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110671448,1.0,0,1,0,39.412857,,38.63752746582031,,,78.00611601140143,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111074904,1.0,0,1,0,74.450294,,40.60144805908203,,,101.29165600736255,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111263724,1.0,0,1,0,34.728054,,36.775245666503906,,,71.35759625186213,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111448682,1.0,0,1,0,35.36596,,34.38501739501953,,,69.6662552587388,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111566226,1.0,0,1,0,49.02986,,25.573211669921875,,,70.65718211668612,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111586459,1.0,0,1,0,65.50737,,38.045291900634766,,,98.92125809451336,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110203798,1.0,0,1,1,43.138355,,48.4463005065918,30.087860107421875,,77.0022707856288,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,110241664,1.0,0,1,0,33.000645,,33.428993225097656,,,65.86787360021366,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110659177,1.0,0,1,1,65.831116,,25.017179489135742,54.70149612426758,,71.80738348515526,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,109840020,1.0,0,1,0,37.779945,,34.965641021728516,,,72.5234774984257,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110089599,1.0,0,1,0,51.867554,,42.415775299072266,,,93.80760653408562,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110244458,1.0,0,1,0,45.53494,,40.00407791137695,,,85.27715574247756,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110453827,1.0,0,1,0,44.435226,,42.25455856323242,,,86.48078820923678,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111310626,1.0,0,1,3,54.915443,,114.44735717773438,51.138301849365234,,113.29649636287635,False,False,True,3,False,False,False,False,False,,
data_A.1lep.root,data,111344298,1.0,0,1,0,43.137447,,30.67399024963379,,,72.73810505542478,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111587617,1.0,0,1,0,41.817493,,38.94784164428711,,,80.23407572824068,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109859397,1.0,0,1,0,44.014633,,43.00027084350586,,,86.67534066098064,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110094179,1.0,0,1,0,38.068428,,34.440452575683594,,,72.36055610210695,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110275824,1.0,0,1,0,37.35,,37.49040222167969,,,74.83765316385549,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110385943,1.0,0,1,0,58.29425,,40.40159225463867,,,85.36225538275961,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110482046,1.0,0,1,0,32.68334,,34.279117584228516,,,66.59764305873739,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111076714,1.0,0,1,0,57.358562,,36.84324645996094,,,91.49474330203033,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111397296,1.0,0,1,0,31.057844,,58.08552551269531,,,84.93519337572425,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111498520,1.0,0,1,0,43.486057,,30.762332916259766,,,73.0085989121922,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111492490,1.0,0,1,1,73.91664,,43.88372802734375,36.05057144165039,,96.37151374580966,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,109933439,1.0,0,1,0,38.71855,,54.238990783691406,,,91.02028762147805,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109979121,1.0,0,1,0,46.323772,,30.70075225830078,,,75.32410733820217,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110737862,1.0,0,1,0,62.04611,,36.39177322387695,,,90.67413505432361,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110954277,1.0,0,1,1,64.067566,,30.686845779418945,52.99735641479492,,86.27466657337897,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,111019669,1.0,0,1,0,43.503563,,40.078086853027344,,,83.40831771008204,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111316589,1.0,0,1,0,67.131836,,34.195335388183594,,,83.67629179661033,False,False,True,0,False,False,False,False,False,,
